sample,year,egg,sex,processing_latency,part,percent.cells,HH,DNA.conc,DNA.quantity,female.id,probability.of.parentage,probability.of.parentage.idexcl,colony.mother.correct,colony.mother.correct.idexcl,colony.father.match.social,colony.father.match.idexcl,hh.stage,percentage.cells,sep/gunk,zero.amplification,number.amplified,percent.amplfied,mismatched.microsats,percent.mismatched
E19.034-PVL+EC,2019,E19.034,NA,3,PVL+EC,10,1,0.11,10.8,6,NA,NA,NA,NA,NA,NA,NA,10,GUNK,TRUE,0,0,0,0
E19.035-PVL,2019,E19.035,M,10,PVL,10,1,44.3,4430,17,1,0.1021,0,0,1,1,NA,10,GUNK,FALSE,40,100,7,38.89
E19.038-PVL,2019,E19.038,F,10,PVL,10,1,7.32,732,18,0.71,0.1021,1,1,0,0,NA,10,GUNK,FALSE,40,100,0,0
E19.039-PVL,2019,E19.039,M,3,PVL,10,1,2.26,226,19,0.98,0.5612,1,0,0,0,NA,10,GUNK,FALSE,40,100,4,22.22
E19.040-PVL,2019,E19.040,F,8,PVL,10,1,4.75,475,20,0.96,0.1021,1,1,0,0,NA,10,SEP,FALSE,40,100,0,0
E19.041-PVL,2019,E19.041,F,10,PVL,10,1,3.28,328,3,0.88,0.9449,1,0,0,0,NA,10,SEP,FALSE,40,100,0,0
E19.042-PVL,2019,E19.042,M,4,PVL,10,1,5.92,592,21,0.96,0.1021,1,1,0,0,NA,10,SEP,FALSE,40,100,0,0
E19.043-EC,2019,E19.043,NA,4,EC,10,1,0.71,71,21,0.96,0.1021,0,0,0,0,NA,10,GUNK,FALSE,40,100,0,0
E19.043-PVL,2019,E19.043,M,4,PVL,10,1,0.71,8.2,21,0.96,0.1021,0,0,0,0,NA,10,GUNK,TRUE,0,0,0,0
E19.044-PVL+EC,2019,E19.044,M,4,PVL+EC,100,2,123,12300,22,1,1,1,1,0,0,NA,100,GUNK,FALSE,40,100,0,0
E19.045-EC,2019,E19.045,M,4,EC,100,2,124,12400,21,0.96,0.1021,1,1,0,0,NA,100,GUNK,FALSE,32,80,0,0
E19.013 PVL,2019,E19.013,M,NA,PVL,10,1,3.65,365,NA,,,,,,,,10,,FALSE,38,95,,
E19.021,2019,E19.021,F,NA,PVL+EC,10,1,5.07,507,NA,NA,NA,NA,NA,NA,NA,NA,10,,FALSE,40,100,,
E19.023 EC,2019,E19.023,F,NA,EC,100,2,93,9300,NA,NA,NA,NA,NA,NA,NA,NA,100,,FALSE,36,90,,
E19.030 PVL,2019,E19.030,M,NA,PVL,10,1,4.8,480,NA,,,,,,,,10,,FALSE,40,100,,
E19.036 EC,2019,E19.036,F,NA,EC,100,2,55,5500,NA,,,,,,,,100,,FALSE,38,95,,
E19.037 PVL,2019,E19.037,M,NA,PVL,10,1,32,3200,NA,,,,,,,,10,,FALSE,40,100,,
E20.002,2020,E20.002,M,NA,EC,10,1,15,1500,7,0.0128,0.0129,1,1,0,0,15,100,GUNK,FALSE,35,87.5,1,5.56
